areaName,Borough,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
All Downtown,Manhattan,3446,3548.75,3557.916667,3613.75,3719.166667,3765,3691.916667,3779.75,3958.416667,3562.833333
All Midtown,Manhattan,3284,3364.583333,3389.583333,3423.333333,3511.25,3515.833333,3471.416667,3474.166667,3639,3254.25
All Upper East Side,Manhattan,2648.75,2752.5,2794.583333,2739.083333,2942.916667,2979.75,2961.666667,2911.666667,3057.333333,2883.25
All Upper Manhattan,Manhattan,1932.583333,2000.25,2041.666667,2096.083333,2244.416667,2363.333333,2335.833333,2343.583333,2407.5,2352.083333
All Upper West Side,Manhattan,3151.5,3247.833333,3226.25,3249.5,3402.5,3427.333333,3328.416667,3329.75,3477.25,3165.583333
Astoria,Queens,1839,2095.833333,2074,2133.333333,2241.25,2286.166667,2228.333333,2176.916667,2278.916667,2191.166667
Auburndale,Queens,#DIV/0!,1600,#DIV/0!,#DIV/0!,1992,1985.181818,2043.583333,2122.416667,2008.833333,2002.636364
Bath Beach,Brooklyn,1122.6,1138,1510,1718.75,1819.666667,2041.083333,1943.416667,1824.833333,1743.25,1842.727273
Battery Park City,Manhattan,3557.166667,3905,3795.083333,4038.5,4493.166667,4533,4223.833333,4495.916667,4799.916667,4158.166667
Bay Ridge,Brooklyn,1576.666667,1655.25,1674.416667,1752.916667,1806.916667,2037.5,1940.833333,1957.583333,1943.666667,1949.5
Baychester,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Bayside,Queens,1966.666667,1891.25,1956.916667,2048.25,2287.5,2366.666667,2417.416667,2356.25,2120.833333,2018.416667
Bedford Park,Bronx,1000,1043.75,1082,1307.875,1409.416667,1454.583333,1521.5,1558.583333,1696.25,1691.777778
Bedford-Stuyvesant,Brooklyn,1629.166667,1791,2090.25,2251.083333,2350.416667,2422.583333,2409.583333,2471.583333,2546.083333,2462.583333
Bellerose,Queens,#DIV/0!,#DIV/0!,#DIV/0!,2016.666667,2000,1991.666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
